{Temperature=26.3, SoundIntensity=0, Humidity=47.9, Wet=0, LightIntensity=212, timestamp=20180708T101935Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.9, Wet=0, LightIntensity=213, timestamp=20180708T101938Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.9, Wet=0, LightIntensity=212, timestamp=20180708T101941Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=213, timestamp=20180708T101944Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=217, timestamp=20180708T101948Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.9, Wet=0, LightIntensity=217, timestamp=20180708T101951Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.9, Wet=0, LightIntensity=219, timestamp=20180708T101954Z}
{Temperature=26.3, SoundIntensity=0, Humidity=48, Wet=0, LightIntensity=232, timestamp=20180708T101957Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=240, timestamp=20180708T102000Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=234, timestamp=20180708T102003Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=238, timestamp=20180708T102006Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=238, timestamp=20180708T102009Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=240, timestamp=20180708T102012Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=238, timestamp=20180708T102015Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=236, timestamp=20180708T102019Z}
{Temperature=26.2, SoundIntensity=0, Humidity=47.7, Wet=0, LightIntensity=235, timestamp=20180708T102022Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=234, timestamp=20180708T102025Z}
{Temperature=26.2, SoundIntensity=0, Humidity=47.7, Wet=0, LightIntensity=236, timestamp=20180708T102028Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=233, timestamp=20180708T102031Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=229, timestamp=20180708T102034Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.7, Wet=0, LightIntensity=231, timestamp=20180708T102037Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=238, timestamp=20180708T102040Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=233, timestamp=20180708T102043Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=236, timestamp=20180708T102047Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=237, timestamp=20180708T102050Z}
{Temperature=26.2, SoundIntensity=0, Humidity=47.6, Wet=0, LightIntensity=231, timestamp=20180708T102053Z}
{Temperature=26.2, SoundIntensity=0, Humidity=47.6, Wet=0, LightIntensity=237, timestamp=20180708T102056Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.7, Wet=0, LightIntensity=237, timestamp=20180708T102100Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=236, timestamp=20180708T102103Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=235, timestamp=20180708T102106Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=230, timestamp=20180708T102109Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=234, timestamp=20180708T102112Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=238, timestamp=20180708T102115Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.9, Wet=0, LightIntensity=231, timestamp=20180708T102118Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.9, Wet=0, LightIntensity=232, timestamp=20180708T102122Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.8, Wet=0, LightIntensity=243, timestamp=20180708T102125Z}
{Temperature=26.2, SoundIntensity=0, Humidity=47.6, Wet=0, LightIntensity=240, timestamp=20180708T102128Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.6, Wet=0, LightIntensity=242, timestamp=20180708T102131Z}
{Temperature=26.2, SoundIntensity=0, Humidity=47.5, Wet=0, LightIntensity=214, timestamp=20180708T102134Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.6, Wet=0, LightIntensity=229, timestamp=20180708T102138Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.6, Wet=0, LightIntensity=231, timestamp=20180708T102141Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.5, Wet=0, LightIntensity=225, timestamp=20180708T102144Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.5, Wet=0, LightIntensity=232, timestamp=20180708T102147Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.6, Wet=0, LightIntensity=224, timestamp=20180708T102150Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.6, Wet=0, LightIntensity=233, timestamp=20180708T102154Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.6, Wet=0, LightIntensity=232, timestamp=20180708T102157Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.5, Wet=0, LightIntensity=228, timestamp=20180708T102200Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.6, Wet=0, LightIntensity=231, timestamp=20180708T102203Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.6, Wet=0, LightIntensity=240, timestamp=20180708T102206Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.6, Wet=0, LightIntensity=234, timestamp=20180708T102209Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.6, Wet=0, LightIntensity=243, timestamp=20180708T102213Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.6, Wet=0, LightIntensity=221, timestamp=20180708T102216Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.6, Wet=0, LightIntensity=213, timestamp=20180708T102219Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.5, Wet=0, LightIntensity=210, timestamp=20180708T102222Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.6, Wet=0, LightIntensity=208, timestamp=20180708T102225Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.6, Wet=0, LightIntensity=210, timestamp=20180708T102228Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.5, Wet=0, LightIntensity=219, timestamp=20180708T102231Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.5, Wet=0, LightIntensity=214, timestamp=20180708T102234Z}
{Temperature=26.2, SoundIntensity=0, Humidity=47.4, Wet=0, LightIntensity=211, timestamp=20180708T102238Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.5, Wet=0, LightIntensity=209, timestamp=20180708T102241Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.5, Wet=0, LightIntensity=210, timestamp=20180708T102244Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.5, Wet=0, LightIntensity=205, timestamp=20180708T102247Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.5, Wet=0, LightIntensity=205, timestamp=20180708T102250Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.5, Wet=0, LightIntensity=205, timestamp=20180708T102253Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.4, Wet=0, LightIntensity=205, timestamp=20180708T102256Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.5, Wet=0, LightIntensity=199, timestamp=20180708T102259Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.5, Wet=0, LightIntensity=208, timestamp=20180708T102302Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.5, Wet=0, LightIntensity=202, timestamp=20180708T102306Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.4, Wet=0, LightIntensity=210, timestamp=20180708T102309Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.4, Wet=0, LightIntensity=209, timestamp=20180708T102312Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.4, Wet=0, LightIntensity=208, timestamp=20180708T102315Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.5, Wet=0, LightIntensity=198, timestamp=20180708T102318Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.5, Wet=0, LightIntensity=206, timestamp=20180708T102321Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.4, Wet=0, LightIntensity=208, timestamp=20180708T102324Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.4, Wet=0, LightIntensity=208, timestamp=20180708T102327Z}
{Temperature=26.2, SoundIntensity=0, Humidity=47.3, Wet=0, LightIntensity=204, timestamp=20180708T102330Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.4, Wet=0, LightIntensity=207, timestamp=20180708T102333Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.5, Wet=0, LightIntensity=207, timestamp=20180708T102336Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.5, Wet=0, LightIntensity=209, timestamp=20180708T102340Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.3, Wet=0, LightIntensity=200, timestamp=20180708T102343Z}
{Temperature=26.2, SoundIntensity=0, Humidity=47.3, Wet=0, LightIntensity=204, timestamp=20180708T102346Z}
{Temperature=26.2, SoundIntensity=0, Humidity=47.3, Wet=0, LightIntensity=199, timestamp=20180708T102349Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.4, Wet=0, LightIntensity=209, timestamp=20180708T102352Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.4, Wet=0, LightIntensity=207, timestamp=20180708T102355Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.4, Wet=0, LightIntensity=202, timestamp=20180708T102358Z}
{Temperature=26.2, SoundIntensity=0, Humidity=47.3, Wet=0, LightIntensity=201, timestamp=20180708T102401Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.3, Wet=0, LightIntensity=205, timestamp=20180708T102404Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.4, Wet=0, LightIntensity=208, timestamp=20180708T102408Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.4, Wet=0, LightIntensity=205, timestamp=20180708T102411Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.4, Wet=0, LightIntensity=206, timestamp=20180708T102414Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.3, Wet=0, LightIntensity=205, timestamp=20180708T102417Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.3, Wet=0, LightIntensity=205, timestamp=20180708T102420Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.3, Wet=0, LightIntensity=206, timestamp=20180708T102423Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.3, Wet=0, LightIntensity=202, timestamp=20180708T102427Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.3, Wet=0, LightIntensity=199, timestamp=20180708T102430Z}
{Temperature=26.3, SoundIntensity=0, Humidity=47.3, Wet=0, LightIntensity=204, timestamp=20180708T102433Z}
